question,answer,correct_feedback,incorrect_feedback,hint,region
壽司是哪個國家的代表性美食？,日本,答對了！就是日本。,答錯囉，提示：櫻花。,生魚片,東亞
辛辣的泡菜是哪個國家的傳統料理？,韓國,沒錯！阿里郎。,不對喔，提示：首爾。,北方鄰居,東亞
河粉（Pho）是哪個東南亞國家的知名美食？,越南,正確！,錯了，提示：狹長的國家。,曾受法國殖民,東南亞
冬蔭功（酸辣蝦湯）是哪個國家的名菜？,泰國,答對了！薩瓦迪卡。,再想想，大象。,佛教之國,東南亞
北京烤鴨源自於哪個國家？,中國,賓果！,不對喔，提示：萬里長城。,故宮,東亞
海南雞飯是哪個城市國家的國菜？,新加坡,太厲害了！,錯囉，提示：魚尾獅。,很小的國家,東南亞
拉麵是哪個國家的國民美食？,日本,正確！,不對喔，提示：富士山。,動漫大國,東亞
濃郁的咖哩起源於哪個國家？,印度,答對了！,再猜猜，泰姬瑪哈陵。,南亞大國,南亞
石鍋拌飯是哪個國家的特色料理？,韓國,沒錯！,錯了，提示：K-POP。,韓劇,東亞
印尼炒飯（Nasi Goreng）是哪個國家的美食？,印尼,答對了！,再想想，峇里島。,萬島之國,東南亞
